,telescope,thermal_inertia,wavelength,frequency,flux,measure,noise
0,JCMT,5.0,0.34981617036172696,8570.0,1.4583943202764476e-23,1.31e-23,1.3000000000000002e-24
1,JCMT,5.0,0.4501388258258258,6660.0,8.860041695560668e-24,8.470000000000002e-24,8.5e-25
2,JCMT,5.0,0.7994465546666666,3750.0,2.8295550501906714e-24,2.6200000000000003e-24,2.6000000000000004e-25
3,JCMT,5.0,1.0981408717948717,2730.0,1.5013600063502185e-24,1.42e-24,1.4000000000000004e-25
4,JCMT,5.0,1.2978028484848485,2310.0,1.0748099186999067e-24,1.15e-24,1.2e-25
5,IRAS,5.0,0.011999858223592043,249830.0,1.2930827903485401e-22,5.770000000000001e-23,6.200000000000001e-24
6,IRAS,5.0,0.02499937108072048,119920.0,2.204858625446911e-22,1.1170000000000002e-22,1.2300000000000003e-23
7,IRAS,5.0,0.05999448829297578,49970.0,8.295598421287401e-23,5.0300000000000004e-23,1.65e-23
8,IRAS,5.0,0.09999748432288191,29980.0,3.490389222942679e-23,2.0300000000000004e-23,5.200000000000001e-24
9,SPT,5.0,3.331027311111111,900.0,2.0990880238694378e-25,1.5584000000000004e-25,2.0700000000000005e-27
10,SPT,5.0,1.9986163866666666,1500.0,6.2533162400574e-25,4.317700000000001e-25,3.0900000000000006e-27
11,SPT,5.0,1.3626929909090908,2200.0,1.3970156516640255e-24,1.0188900000000002e-24,7.760000000000001e-27
12,VLA,5.0,19.986163866666665,150.0,1.1839296484800414e-27,1.085e-27,3.6000000000000003e-29
13,JCMT,20.0,0.34981617036172696,8570.0,1.4396613907671805e-23,1.31e-23,1.3000000000000002e-24
14,JCMT,20.0,0.4501388258258258,6660.0,8.730061443038655e-24,8.470000000000002e-24,8.5e-25
15,JCMT,20.0,0.7994465546666666,3750.0,2.7718921856199242e-24,2.6200000000000003e-24,2.6000000000000004e-25
16,JCMT,20.0,1.0981408717948717,2730.0,1.4644120361079014e-24,1.42e-24,1.4000000000000004e-25
17,JCMT,20.0,1.2978028484848485,2310.0,1.045565219363595e-24,1.15e-24,1.2e-25
18,IRAS,20.0,0.011999858223592043,249830.0,1.07686004181997e-22,5.770000000000001e-23,6.200000000000001e-24
19,IRAS,20.0,0.02499937108072048,119920.0,2.014021069713077e-22,1.1170000000000002e-22,1.2300000000000003e-23
20,IRAS,20.0,0.05999448829297578,49970.0,7.876294057105869e-23,5.0300000000000004e-23,1.65e-23
21,IRAS,20.0,0.09999748432288191,29980.0,3.3233771142210695e-23,2.0300000000000004e-23,5.200000000000001e-24
22,SPT,20.0,3.331027311111111,900.0,1.9484739551678396e-25,1.5584000000000004e-25,2.0700000000000005e-27
23,SPT,20.0,1.9986163866666666,1500.0,5.654499741162505e-25,4.317700000000001e-25,3.0900000000000006e-27
24,SPT,20.0,1.3626929909090908,2200.0,1.2591335254842112e-24,1.0188900000000002e-24,7.760000000000001e-27
25,VLA,20.0,19.986163866666665,150.0,1.0765955846340021e-27,1.085e-27,3.6000000000000003e-29
26,JCMT,80.0,0.34981617036172696,8570.0,1.3718364009611083e-23,1.31e-23,1.3000000000000002e-24
27,JCMT,80.0,0.4501388258258258,6660.0,8.272793423856286e-24,8.470000000000002e-24,8.5e-25
28,JCMT,80.0,0.7994465546666666,3750.0,2.581089544241056e-24,2.6200000000000003e-24,2.6000000000000004e-25
29,JCMT,80.0,1.0981408717948717,2730.0,1.3457071158071142e-24,1.42e-24,1.4000000000000004e-25
30,JCMT,80.0,1.2978028484848485,2310.0,9.5307397925794e-25,1.15e-24,1.2e-25
31,IRAS,80.0,0.011999858223592043,249830.0,6.659863689380921e-23,5.770000000000001e-23,6.200000000000001e-24
32,IRAS,80.0,0.02499937108072048,119920.0,1.6027142754089144e-22,1.1170000000000002e-22,1.2300000000000003e-23
33,IRAS,80.0,0.05999448829297578,49970.0,6.876235644292919e-23,5.0300000000000004e-23,1.65e-23
34,IRAS,80.0,0.09999748432288191,29980.0,2.940349708841577e-23,2.0300000000000004e-23,5.200000000000001e-24
35,SPT,80.0,3.331027311111111,900.0,2.0197580174546475e-25,1.5584000000000004e-25,2.0700000000000005e-27
36,SPT,80.0,1.9986163866666666,1500.0,5.674574441616395e-25,4.317700000000001e-25,3.0900000000000006e-27
37,SPT,80.0,1.3626929909090908,2200.0,1.231802875983333e-24,1.0188900000000002e-24,7.760000000000001e-27
38,VLA,80.0,19.986163866666665,150.0,9.331005675823274e-28,1.085e-27,3.6000000000000003e-29
